שדה תעופה,שנה,נוסעים בינלאומי,נוסעים פנים ארצי,"סה""כ נוסעים",מטוסים בינלאומי,מטוסים פנים ארצי,"סה""כ מטוסים"
"נתב""ג",2004,7664262,387633,,59190,7448,
"נתב""ג",2005,8506584,410837,,62303,7836,
"נתב""ג",2006,8816597,404961,,67766,8969,
"נתב""ג",2007,10109793,416769,,74459,10109,
"נתב""ג",2008,11081213,469220,,82649,11995,
"נתב""ג",2009,10506531,445854,,81703,7741,
"נתב""ג",2010,11485509,674830,,86229,8942,
אילת,2004,20717,987167,,782,18115,
אילת,2005,21960,1027015,,903,17874,
אילת,2006,19225,1006520,,780,17892,
אילת,2007,20524,1088926,,853,19166,
אילת,2008,22442,1068264,,872,17662,
אילת,2009,19333,1056614,,631,16720,
אילת,2010,7113,1293251,,229,18364,
עובדה,2004,,,70345,,,624
עובדה,2005,,,82479,,,746
עובדה,2006,,,86217,,,765
עובדה,2007,,,62611,,,637
עובדה,2008,,,81304,,,824
עובדה,2009,,,85265,,,786
עובדה,2010,,,117166,,,1079
חיפה,2004,1518,69313,,335,15890,
חיפה,2005,530,60804,,230,12852,
חיפה,2006,399,51989,,143,12471,
חיפה,2007,559,64992,,194,13337,
חיפה,2008,657,64152,,234,13403,
חיפה,2009,2128,48549,,481,8233,
חיפה,2010,3659,79472,,632,12970,
ראש פינה,2004,,,54764,,,14995
ראש פינה,2005,,,45306,,,13149
ראש פינה,2006,,,16110,,,11592
ראש פינה,2007,,,16790,,,11017
ראש פינה,2008,,,19766,,,9703
ראש פינה,2009,,,19050,,,7614
ראש פינה,2010,,,23067,,,10275
הרצליה,2004,,,3576,,,
הרצליה,2005,,,2884,,,
הרצליה,2006,,,3714,,,
הרצליה,2007,,,4062,,,
הרצליה,2008,,,3516,,,
הרצליה,2009,,,1778,,,
הרצליה,2010,,,1138,,,
שדה דב,2004,2916,663963,,862,,
שדה דב,2005,4556,658395,,1238,33449,
שדה דב,2006,4349,624539,,1159,30799,
שדה דב,2007,5875,697774,,1436,34991,
שדה דב,2008,6132,640657,,1422,33266,
שדה דב,2009,3543,658287,,907,30979,
שדה דב,2010,3653,652119,,1005,31985,
